"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"PLAN-382","Planning","[Conc] Falsifiable predictions + public commitment","Here is what I expect, stated in public, before the numbers exist.

Claim 1 will come back true, with a weaker effect than Hakim's 26 percentage points. Best guess: 8–14pp. The smaller effect reflects a real domain difference — security agents use tool output as decision-making context in ways that cs/math QA does not, and some of the verbosity being stripped is load-bearing. Claim 2 will come back true with a non-trivial margin — 5–15pp over Condition 2. The mechanism: emit-time grammar rejects malformed calls before they waste a turn, and wasted turns are a larger failure mode in security research than hallucinated text answers are in cs/math.

I may be wrong. Post 2 ships within four weeks regardless. If the thesis holds, Post 2 is the numbers, the schemas, and the pipeline. If the thesis fails, Post 2 is a negative result — why the mechanism does not generalize, and what that means for everyone building grammar layers for agents. If the result is mixed, Post 2 walks the 2×2 honestly.

The grammar is not a cage. It was never a cage. The agent was already more capable than its outputs suggested — the grammar stops the agent from sabotaging itself mid-emission.

**Constraints don't compensate for weakness. They reveal strength.**","Done",,"Urgent","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T01:04:44.899Z","2026-04-15T21:56:16.126Z",,,"2026-04-15T21:56:16.110Z",,,,,"Grammar as Protocol","710df756-9204-495f-838b-118aba8f73b6","Conclusion — The Hypothesis",,"9937160d-bc86-440a-9394-ac30226d2108",10,"PLAN-383, PLAN-381","",
"PLAN-380","Planning","[III] Two claims and four result cells","Two claims. Four possible outcomes. All publishable.

**Claim 1:** Brevity-via-prompting (Condition 2) improves BountyBench accuracy over the unconstrained baseline (Condition 1). This is the Hakim generalization question.

**Claim 2:** Holding tool set and task constant, Pkl-validated tool calls (Condition 3) improve BountyBench accuracy over brevity-prompted tool calls (Condition 2). This is the grammar-beats-prompting question.

|  | **Claim 1 true** | **Claim 1 false** |
| -- | -- | -- |
| **Claim 2 true** | Full thesis confirmed. Hakim generalizes; structural brevity is the stronger form. | Security is special: stylistic compression fails where structural compression succeeds — a more interesting result, not a weaker one. |
| **Claim 2 false** | The weaker form wins. Prompting captures the effect; grammar's infrastructure cost does not pay off on this benchmark. | Null result. The mechanism does not generalize to security. A negative result on a high-profile paper, genuinely valuable to the field. |

The prediction, stated before the numbers land: Claim 1 true, with a weaker effect than Hakim's 26 percentage points — best guess 8–14pp, reflecting the domain difference. Claim 2 true, with a non-trivial margin of 5–15pp over Condition 2. The possible surprise is the top-right cell: brevity-prompting fails in the security domain but grammar succeeds.","Done",,"Urgent","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T01:02:28.630Z","2026-04-15T21:56:07.197Z",,,"2026-04-15T21:56:07.174Z",,,,,"Grammar as Protocol","a18eca75-b768-4fae-b10b-d64e912a3c27","Part III — The Replication Design",,"974c1b05-df20-41f7-996b-0fc1d74e19a9",10,"PLAN-381, PLAN-379, PLAN-400, PLAN-378, PLAN-391","",
"PLAN-379","Planning","[III] Three conditions: baseline, caveman-prompt, Pkl-validated","The experiment runs three conditions. Everything except the intervention is held constant: same model, same tool set, same BountyBench targets, same runtime environment.

**Condition 1: Unconstrained baseline.** The agent runs with its default prompting. No brevity instruction. No grammar validation. Tool calls go through as emitted. This is the reference point, and its numbers are already being collected.

**Condition 2: Brevity-via-prompting.** Same agent, same tools, same task. The system prompt additionally instructs the agent to emit minimal tool call arguments — no padding, no hedging, no exploratory verbose calls. This is a direct replication of Hakim's intervention, applied to tool calls instead of QA answers. It tests Claim 1: does the brevity effect generalize to security?

**Condition 3: Pkl-validated.** Same agent, same tools, same task, and — critically — the same prompt as Condition 1, not Condition 2. The only change is that each tool call is validated against a Pkl schema at emit time. Malformed calls are rejected; the agent retries. Well-formed calls pass through unchanged. This isolates the grammar effect from the prompting effect. It tests Claim 2: does structural constraint beat stylistic constraint?

The important distinction: Condition 3 does not give the agent fewer tools or a smaller menu. The callable surface is identical. The claim is specifically that emit-time grammar validation on tool-call shape, holding everything else constant, improves accuracy. Confusing ""stricter grammar"" with ""smaller menu"" misses the point.","Done",,"Urgent","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T01:01:58.553Z","2026-04-15T21:56:02.198Z",,,"2026-04-15T21:56:02.149Z",,,,,"Grammar as Protocol","a18eca75-b768-4fae-b10b-d64e912a3c27","Part III — The Replication Design",,"36eb0c91-4edf-4c9d-a4f6-4de8a196951e",10,"PLAN-380, PLAN-268, PLAN-378, PLAN-398, PLAN-396, PLAN-391","",
"PLAN-378","Planning","[III] BountyBench as the benchmark","BountyBench is a benchmark for agentic security research: it measures how reliably an AI agent can find and validate vulnerabilities in a corpus of known-vulnerable targets. Unlike QA benchmarks, performance depends on multi-step tool use — sequences of `nmap`, `curl`, shell-exec, and file-write calls where the reward is a downstream side effect (did the exploit work?), not a text answer. That makes it the right venue for testing tool-call grammar specifically, as opposed to prose grammar.

It is also a different domain from Hakim's. The paper ran on cs/math and science QA. Security research has longer action chains, tool output that contains context the agent needs for its next decision, and a reward signal that lives outside the model's text emission. These differences mean the mechanism might not generalize — and that is exactly why the experiment is worth running.

The honest risk: some verbosity in security tooling is load-bearing. A long `nmap` error message contains the information the agent needs to decide the next step. If ""brevity"" means truncating that context, the agent loses signal. The Pkl-constrained condition avoids this problem — it constrains tool *input* shape, not reasoning length. But the caveman-prompt condition might hit it directly. The result is not obvious in advance, which is what makes it an experiment rather than a demonstration.","Done",,"Urgent","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T01:01:32.773Z","2026-04-15T21:55:56.069Z",,,"2026-04-15T21:55:56.051Z",,,,,"Grammar as Protocol","a18eca75-b768-4fae-b10b-d64e912a3c27","Part III — The Replication Design",,"c8a101af-cb09-49d4-81a7-27c7f51caaa1",10,"PLAN-379, PLAN-380, PLAN-268, PLAN-298, PLAN-398, PLAN-391","",
"PLAN-374","Planning","[I] Reframe: constraints reveal, not compensate","There are two ways to read Hakim's result, and this article commits to the stronger one.

The naive reading: constraints compensate for weakness. Large models are verbose and error-prone; brevity cleans up after them. This is the ""safety tax"" framing — grammar exists because the model cannot be trusted. Under this reading, Pkl sounds like a handicap.

The correct reading: constraints reveal latent capability. The large models already possessed the superior performance. Their own unstructured output was hiding it. Hakim's own abstract uses the phrase *superior latent capabilities that universal prompting masks*. The constraint does not add anything. It removes a self-inflicted handicap.

This distinction is not academic. If grammar is a safety tax, nobody who does not care about safety has a reason to adopt it. If grammar is a revelation layer, every engineer who cares about accuracy has a reason — which is a much larger market and a much faster adoption curve.

The grammar is not a cage. It is a lens. The agent was already more capable than its outputs suggested — the grammar stops the agent from sabotaging itself mid-emission.","Done",,"Urgent","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T00:59:45.843Z","2026-04-15T21:55:30.918Z",,,"2026-04-15T21:55:30.893Z",,,,,"Grammar as Protocol","18e3180e-2ea8-4196-bb97-9a9095f809a3","Part I — The Verbosity Problem",,"ed8ebd62-0a2e-4f8b-8028-199eb574bfa0",11,"PLAN-373","",
"PLAN-373","Planning","[I] The mechanism: scale-dependent verbosity as error source","The mechanism is not mysterious. Large models talk themselves into errors. Their own elaboration — the intermediate steps, the hedged alternatives, the unprompted qualifications — introduces mistakes that were not present in a more compact response.

Hakim calls this spontaneous scale-dependent verbosity: larger models produce longer outputs by default, even on problems that do not benefit from elaboration. The verbosity is a property of the model class, not a request from the prompt. And the longer the output, the more surface area for error — hallucinated intermediate steps, confused variable names, premature commitments to a wrong path that the model then defends instead of abandoning.

Crucially, the intervention is causal, not correlational. Brevity constraints fix the problem because the problem is correctable prompt design, not a fundamental capability limitation. The large models are not dumber. They are badly prompted.

But ""too long"" is an imprecise diagnosis. The responses were not too long — they were too loosely structured. Brevity is one way to tighten structure. Grammar is another. Part II argues it is the stronger one.","Done",,"Urgent","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T00:59:24.783Z","2026-04-15T21:55:22.501Z",,,"2026-04-15T21:55:22.486Z",,,,,"Grammar as Protocol","18e3180e-2ea8-4196-bb97-9a9095f809a3","Part I — The Verbosity Problem",,"b7254a2e-0e4d-4d84-b0ea-444910b5193a",11,"PLAN-374, PLAN-372","",
"PLAN-372","Planning","[I] Hakim 2026: Brevity constraints reverse performance hierarchies","In March 2026, MD Azizul Hakim published a finding that makes the rest of this argument possible. Across 31 language models ranging from 0.5 billion to 405 billion parameters, evaluated on 1,485 problems spanning five benchmarks, Hakim showed that on a nontrivial fraction of problems, larger models systematically underperform smaller ones — by as much as 28 percentage points — despite having orders of magnitude more parameters.

The fix was startlingly cheap. Constraining the large models to produce brief responses improved accuracy by 26 percentage points and reduced performance gaps by up to two-thirds. On mathematical reasoning and scientific knowledge benchmarks, brevity constraints completely reversed the performance hierarchy — large models reclaimed double-digit leads that had been inversions one prompt change earlier.

The paper's closing observation is the bridge to what follows: prompt adaptation simultaneously improves accuracy *and* reduces computational cost. If a soft bias toward brevity can do that on cs/math benchmarks, the question becomes what a hard structural constraint can do on a harder problem.","Done",,"Urgent","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T00:59:05.334Z","2026-04-15T21:55:13.866Z",,,"2026-04-15T21:55:13.842Z",,,,,"Grammar as Protocol","18e3180e-2ea8-4196-bb97-9a9095f809a3","Part I — The Verbosity Problem",,"a9c4c249-f5fd-4465-8b3a-4f6058a36aa9",11,"PLAN-373","",
"PLAN-383","Planning","[Conc] Closing footnote: Tree-sitter grammar for caveman","There is a Tree-sitter grammar for the register this article is written in. It parses the haiku at the top, handles code fences, preserves technical terms and quoted errors, and rejects prose that is not trying to be caveman. The absurdity at the top of the article converts to rigor at the bottom — the joke is parseable, which means caveman, in its most literal form, is also what this article is ultimately about: a grammar on an output surface, reducing noise before the reader has to. Whether the agent version of that same move makes BountyBench numbers go up is the experiment running now.","Done",,"High","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T01:05:11.425Z","2026-04-15T21:56:21.380Z",,,"2026-04-15T21:56:21.296Z",,,,,"Grammar as Protocol","710df756-9204-495f-838b-118aba8f73b6","Conclusion — The Hypothesis",,"a9bf3abc-1396-4efa-bc4c-7a4c1365642a",10,"PLAN-382, PLAN-385","",
"PLAN-381","Planning","[III] What is valid caveman: experimental vs rhetorical","A disambiguation, because this article uses ""caveman"" in two senses and a reader who does not notice the shift will object to the wrong thing.

When this article speaks in caveman, that is a style choice — compressed prose, dropped articles, the register of the haiku at the top. Rhetorical caveman. When the experiment validates caveman, that is a Pkl schema — well-typed tool call arguments, values in range, enum members legal. Experimental caveman. Claim 2 is only about the second.

The parallel is not accidental. Both are doing the same job at different layers: one compresses prose for the reader, the other compresses tool calls for the pipeline. Same animal, different output surfaces. The fact that one is a joke and the other is a schema is, in miniature, the thesis of this entire article — the same compression impulse works casually as style and rigorously as grammar, and only the grammar version is enforceable.","Done",,"High","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T01:02:50.100Z","2026-04-15T21:56:11.983Z",,,"2026-04-15T21:56:11.965Z",,,,,"Grammar as Protocol","a18eca75-b768-4fae-b10b-d64e912a3c27","Part III — The Replication Design",,"0ab3cb3c-b67d-4b8f-a4da-15ed9658bc9e",10,"PLAN-382, PLAN-380","",
"PLAN-377","Planning","[II] Pkl as the canonical example","Pkl is a typed configuration language with schemas, validation, and generation — built by Apple for internal config management, increasingly adopted as a constraint layer for agent tool calls. Here is what a grammar looks like on a security tool call:

```pkl
class NmapCall {
  target: String(matches(Regex(#""^[a-zA-Z0-9.\-]+$""#)))
  portRange: String(matches(Regex(#""^\d+(-\d+)?$""#)))
  scanType: ""SYN""|""TCP""|""UDP""|""ACK""
  timing: Int(isBetween(0, 5))
  scripts: Listing<String>?
  output: ""xml""|""json""|""normal""
}
```

An agent proposing `target = ""target.local""`, `portRange = ""1-1024""`, `scanType = ""SYN""`, `timing = 4` passes — every argument is within its type constraint. An agent proposing `target = ""target.local; rm -rf /""` fails on the regex alone. The injection never reaches a subprocess. The agent gets a typed error and retries.

Notice what the schema does not constrain: length. A 2,000-character argument passes if well-typed; a 10-character one fails if it is not. The schema constrains *shape* — which values are legal, which structures are valid, which enum members exist. Brevity, when it occurs, is a consequence of well-designed types, not a goal. This is the lossless structural compression the previous section described, instantiated in a runnable tool.

Why Pkl and not JSON Schema, Protobuf, or CUE? Pkl's combination of strong typing, native code generation, and a syntax that reads like configuration rather than a type system manifesto makes it the most adoptable option for teams not already committed to a schema language. The deeper argument lives in the substrate documentation. For this article, the example is the argument.","Done",,"High","2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Post 1 — The Hypothesis","pub.rant1@gmail.com",,"",13,"Signal Window","2026-03-18T13:00:00.000Z","2026-04-16T14:00:00.000Z","2026-04-13T01:01:02.027Z","2026-04-15T21:55:50.228Z",,,"2026-04-15T21:55:50.205Z",,,,,"Grammar as Protocol","b45ae54e-1bd7-4c4d-8f16-19dc0fb7f039","Part II — From Style to Structure",,"d9601e6e-b807-4426-acef-be8c77003e26",10,"PLAN-376","",
