"ID","Name","URL","Summary","Description","Status","Priority","Milestones","Creator","Lead","Members","Start Date (Start)","Start Date (End)","Target Date (Start)","Target Date (End)","Created At","Started At","Updated At","Completed At","Canceled At","Archived At","Teams","Initiatives","Health","Latest Update","Latest Update Date","Customer Count","Customer Revenue","Blocking","Blocked by","Labels","Initiative IDs"
"832bda26-a62c-4ae4-bb99-a856481cf18a","LinkedIn Rebranding & Outreach","https://linear.app/tidelands-dev/project/linkedin-rebranding-and-outreach-1fa4bd46f8d4/overview","","Structured tasks for LinkedIn profile rebranding, high-priority outreach, and targeted job applications based on reconnaissance reports.","In Progress","Urgent","Milestone 1: Identity Sync[next],Milestone 2: Signal Hardening[unstarted],Milestone 3: Market Entry[unstarted]","Robin Jordan","","","2026-04-06T14:00:00.000Z",,"2026-04-09T14:00:00.000Z",,"2026-04-05T23:52:06.502Z","2026-04-07T21:38:02.119Z","2026-04-07T21:38:06.141Z",,,,"Planning","The Cyber Farm Dispatches","No updates","",,,,"","","","54bcbf3d-3daf-441e-96d0-218bf15df2a5"
"d24fc8b9-f580-47db-ba6a-32497ead221b","Broadsheet","https://linear.app/tidelands-dev/project/broadsheet-18a839efead3/overview","Article publishing pipeline — steganography content engine, article-from-linear skill, and editorial production.","## Broadsheet

The publishing arm of Tidelands. Everything that turns internal customer needs into public articles, LinkedIn posts, and portfolio content.

### What lives here

* **Steganography Content Engine** — 7 series mapped to an intent taxonomy (hider/finder relationships). Anchor series: ""I Hid $1.""
* **article-from-linear pipeline** — skill, readiness rubric, PR check, blind validation. The machine that selects and scaffolds the next publishable article from Linear customer requests.
* **LinkedIn editorial cadence** — Friday–Monday sprint, two-lane framework (always-on DMs, batched editorial posts).

### What doesn't live here

* Empire State (HITL agent supervision — ""Tinder for agent plans"")
* Security Research (findings, bounty work, CVD workflow)
* Infrastructure projects (smallweb, Dagger, Terraform)

### Relationship to other projects

Broadsheet *consumes* customer needs from all other projects. A security finding becomes an article. An infrastructure pattern becomes a post. The publishing pipeline is downstream of everything else.","In Progress","High","","Robin Jordan","Robin Jordan","Robin Jordan","2026-04-11T14:00:00.000Z",,,,"2026-03-30T05:26:47.699Z","2026-04-12T21:30:45.079Z","2026-04-12T21:30:45.079Z",,,,"Planning","The Cyber Farm Dispatches","No updates","",,1,,"","Write: ""Grammar as Protocol - How Formal Constraints Enable Agentic Security Re… (In Progress)","","54bcbf3d-3daf-441e-96d0-218bf15df2a5"
"2861f9cc-ab68-4f82-9645-860a135e73f6","Australian MCP Field Notes","https://linear.app/tidelands-dev/project/australian-mcp-field-notes-1af0109e32d0/overview","Public field notes and dispatches on the emerging Australian MCP and agentic infrastructure scene, derived from LinkedIn reconnaissance and production work.","## Purpose

This page publishes public-facing field notes drawn from LinkedIn reconnaissance and real production work at The Cyber Farm.

The internal source material lives in Planning as recon reports, working notes, and operator fragments. This project is the cleaned public mirror.

## Focus

* the emerging Australian MCP and agentic infrastructure scene
* the gap between what companies are doing and what job titles say
* constraint layers, approval systems, and safety architecture for agents
* the overlap between security research and agent infrastructure

## Format

* the project body is the page shell
* issue bodies are atomic publishable nodes
* blocking relations define reading order
* Pulse updates are LinkedIn-ready dispatches

## Source note

This page is derived primarily from LinkedIn recon work performed inside Planning and then rewritten for a public audience.","In Progress","High","","Robin Jordan","","","2026-04-01T13:00:00.000Z",,,,"2026-04-02T04:42:04.821Z","2026-04-02T04:42:04.831Z","2026-04-02T04:42:04.821Z",,,,"Opensource","The Cyber Farm Dispatches","On track","🟢 On track | Robin Jordan posted an update on Apr 3

I spent two weeks mapping the Australian MCP and agentic AI scene — who is building, who is hiring, and where the gaps are between what companies need and what job titles say.

Five field notes came out of that work. They start with the market itself, move through the structural mismatch in hiring, into the infrastructure thesis that keeps coming back (constraint layers, not more tools), and end at the convergence I keep seeing between security research and agent architecture.

Read the full series →","2026-04-02T20:28:46.000Z",,,"","","","54bcbf3d-3daf-441e-96d0-218bf15df2a5"
"bf39fec6-f02a-4ebb-8953-ff8b7fe48460","Editorial Interface Testing Plan","https://linear.app/tidelands-dev/project/editorial-interface-testing-plan-8ad36cc02860/overview","Track execution of the editorial interface test plan, starting with the desktop case-sequence layout regression and core navigation, responsive, and accessibility coverage.","## Goal

Turn the editorial interface test plan into tracked work across desktop render, navigation, link integrity, mobile, and accessibility.

## Current findings

* Desktop `Case Sequence` layout collapses into unreadably narrow columns.
* At `1280px`, the first `.case-node__body` measured about `102.4px` and the first `.counterargument-panel` about `52px`.
* Mobile at `390px` does not show the same collapse.
* Missing hash targets currently exposed in the UI: `#technical-annex-1`, `#annex-c`, `#proxy-map-04-b`, `#iraq-baseline`, `#beirut-grenada`.
* Desktop active nav state remains static after hash navigation.
* `Share this dossier`, `Bookmark this dossier`, and `Submit Analysis Feedback` are currently inert.

## Workstreams

* Desktop render and layout regression coverage
* Hash navigation and link integrity coverage
* Mobile responsive coverage
* Interaction and accessibility smoke coverage","In Progress","High","","Robin Jordan","Robin Jordan","Robin Jordan","2026-03-23T13:00:00.000Z",,,,"2026-03-24T00:22:51.893Z","2026-04-12T21:30:46.566Z","2026-04-12T21:30:46.566Z",,,,"Planning","The Cyber Farm Dispatches","No updates","",,,,"","","","54bcbf3d-3daf-441e-96d0-218bf15df2a5"
"0c13357e-751a-408c-8dfd-d3caa33966b0","Empire State","https://linear.app/tidelands-dev/project/empire-state-313207fe7260/overview","Swipe-to-approve HITL interface for agentic systems — speculative execution meets dating app UX","## Empire State

**Swipe-based human-in-the-loop decision surface for autonomous agents.**

Empire State is an MCP-native interface where agents submit execution plans as ""dating profiles"" and humans approve or reject them via swipe. It sits in front of any agentic orchestration layer (Argo Workflows, Goose, any MCP-speaking agent) and turns the HITL bottleneck into a fast, fluid, preference-learning interaction.

### Core Thesis

The approval queue is a solved problem. What hasn't been built is a **stateful, preference-learning, speculatively-branched** decision interface for agents. Every swipe updates a preference model. The queue reranks. The agent's next proposal is conditioned on accumulated taste. The system learns what kind of plans you approve — and pre-builds branches for both outcomes.

### Key Mechanics

* **Speculative execution**: Agents pre-compute decision trees. A ""not"" prunes a branch and surfaces the next fork instantly — no blocking on regeneration
* **Buffer on many nots**: A streak of rejections is a branch prediction failure. System pauses swiping and switches to richer input to recalibrate
* **Preference Elo**: Agents and plan types develop trust scores. High-performing agents surface first. Scores decay to prevent stale confidence
* **Card-as-profile**: Each proposal rendered as a dating-style profile — hero image (styleframe/diagram), one-line pitch, confidence score, cost estimate, similarity to past approvals
* **Expressive avatars**: Agent faces express uncertainty, confidence, concern — emotional compression of risk quantification
* **Rate limiting**: Capped approvals per cycle. Scarce signals > noisy unlimited ones
* **Super like**: Long-press for ""more like this"" — stronger training signal
* **Expiry**: Unreviewed cards auto-prune. Staleness is implicit ""not""
* **Undo**: Correct a swipe before side effects execute

### Architecture

* **MCP server** exposing `submit_proposal`, `get_decisions`, `get_preference_model`, `submit_branch_set`
* **Embeddable web UI** (Excalidraw model — hosted app, renders inline, mobile-native)
* **Backend adapter layer**: Argo Workflows (suspend nodes to cards), Goose, any MCP client
* **Pkl constraint layer**: Cards only surface after schema validation — human is last filter, not first
* **Existing infra**: Cronjob grid (0600-0900 x 3 TZ), agents build Argo DAGs, suspend nodes become cards

### Relationship to Other Projects

* **Cyber Farm**: Empire State is the decision surface for security research triage
* **Falada**: Styleframe generation pipeline produces the ""profile photos"" for cards
* **GAP**: Pkl defines card schemas per domain
* **Goose/Block ecosystem**: Open-source MCP server any Goose user can plug in

### Strategic Position

Every agent framework competes on capability. Nobody competes on the human interaction surface. Empire State stakes out the position that the decision interface for agents isn't conversation — it's curation.","In Progress","High","","Robin Jordan","Robin Jordan","Robin Jordan","2026-04-11T14:00:00.000Z",,,,"2026-03-18T08:34:24.098Z","2026-04-12T21:30:47.229Z","2026-04-12T21:30:47.229Z",,,,"Planning","The Cyber Farm Dispatches","No updates","",,1,,"","","","54bcbf3d-3daf-441e-96d0-218bf15df2a5"
"4741bdc2-d06d-4cd7-a847-b3f745f9f8ad","Six Domains, One Stack","https://linear.app/tidelands-dev/project/six-domains-one-stack-42e166294e7a/overview","The Grammar as Protocol thesis applied across six domains — SAT math, German grammar, music theory, security scanning, operational scheduling, and argumentation — showing the same four-layer architecture in each.",,"In Progress","High","","Robin Jordan","","","2026-03-06T13:00:00.000Z",,,,"2026-04-03T04:18:28.173Z","2026-04-03T04:18:28.196Z","2026-04-03T04:18:28.173Z",,,,"Planning","Grammar as Protocol","On track","🟢 On track | Robin Jordan posted an update on Apr 3

Grammars are compiled expertise. An expensive model writes the rules once. A cheap model enforces them forever.

Two articles lay out the Grammar as Protocol thesis and then prove it across six domains — from SAT math to German grammar to security scanning to argumentation — using the same four-layer architecture in each. The claim is structural, not metaphorical. The same Pkl module, Tree-sitter parser, and XState machine pattern applies everywhere.

Read the series →

**Status**: In Progress
**Priority**: High
**Start date** set to Mar 7th

*Progress since Apr 3*: 0% → 25%","2026-04-03T04:19:32.770Z",,,"","","","6d66d799-219a-4d87-ba8f-35df0640dc90"
"60b3f2ee-aa0b-4346-be64-af2e9b3738bb","Grammar as Protocol","https://linear.app/tidelands-dev/project/grammar-as-protocol-9e59d728cfc6/overview","Grammars as universal protocol for agent distillation — Pkl → Tree-sitter → XState → Argo","## Thesis

Grammars are compiled expertise. An advanced agent (Opus) authors formal rules (Pkl modules, tree-sitter grammars, XState machines). Lite agents (Haiku) consume them at runtime. The grammar constrains the agent's action space — no parse match, no action. This is the core architecture for Cyber Farm's offensive security platform, proven first through educational applications.

## Architecture Stack

* **Pkl** (design time) — author rules, validate test cases, prove concepts
* **Tree-sitter** (runtime) — parse raw input into typed ASTs
* **XState** (runtime) — model expected state machines, detect violations
* **Argo Workflows** (infrastructure) — container orchestration, fan-out
* **Slack/Linear** (meta-layer) — audit trail, human-in-the-loop

## Domains

1. **SAT Math** — proof of concept, personal learning goal
2. **Music Theory** — Max for Live plugin, on-device grammar + API enrichment
3. **Security (OWASP)** — Cyber Farm product, grammar-constrained offensive agents
4. **Agent System Prompts** — future: parseable rules for AI agent behavior

## Key Insight

The grammar simultaneously defines ""what to look for"" and ""what you're allowed to do."" Containment and detection are the same artifact. This makes the system insurable, auditable, and legally defensible.","In Progress","No priority","","Robin Jordan","Robin Jordan","Robin Jordan","2026-03-06T13:00:00.000Z",,,,"2026-03-07T09:19:24.721Z","2026-03-07T09:19:24.747Z","2026-03-07T09:19:24.721Z",,,,"Planning","Grammar as Protocol","No updates","",,,,"","","","6d66d799-219a-4d87-ba8f-35df0640dc90"
"2c1a2e60-06e8-4b64-a5d7-cb77eac66df2","Write: ""Grammar as Protocol - How Formal Constraints Enable Agentic Security Re…","https://linear.app/tidelands-dev/project/write-grammar-as-protocol-how-formal-constraints-enable-agentic-8d87c875b9b3/overview","","**Article project: ""Grammar as Protocol — How Formal Constraints Enable Agentic Security Research""**

A 2,000–2,500 word thought-leadership article composed as a Linear issue graph and exported via the Broadsheet publishing pipeline. Each issue body in this project is a section of prose; reading order is determined by within-milestone blocking relations.

**Thesis:** Formal grammars (specifically Pkl as constraint language) serve as universal protocol layers that enable reliable agent-to-agent coordination in high-stakes security research workflows, where traditional prompt engineering fails due to precision requirements.

**Audience:** Security researchers + agent-platform builders + soft contractor-pipeline signal.

**Substrate docs:** Agents on Rails (Pkl), Self-Reinforcing Cybernetic Loop, Operationalizing Autonomous Cyber-Physical Systems, Secure Agent Evaluation Platform Engineering.

**Parent scope:** Slice of the [Grammar as Protocol](<https://linear.app/tidelands-dev/project/grammar-as-protocol-9e59d728cfc6>) project. XState, Tree-sitter, Argo, and multi-vertical applicability live in the parent, not in this article.

**Publish gates:** [PLAN-213](https://linear.app/tidelands-dev/issue/PLAN-213/openai-codex-vs-code-extension-ctrlcmdclick-bypasses-link-confirmation) and [PLAN-78](https://linear.app/tidelands-dev/issue/PLAN-78/gemini-cli-predictable-temp-file-path-in-projectregistry-potential) disclosure or aging-out; pre-publish anonymization sufficiency check.

---

## **Editorial history:** Pre-conversion editorial decisions, source-mapping synthesis from Robin Jordan, and the ""Decisions Resolved"" comment thread live on the now-archived original [PLAN-100](https://linear.app/tidelands-dev/issue/PLAN-100/write-grammar-as-protocol-how-formal-constraints-enable-agentic) issue. See [PLAN-100](https://linear.app/tidelands-dev/issue/PLAN-100/write-grammar-as-protocol-how-formal-constraints-enable-agentic) for provenance.","In Progress","No priority","Introduction[next],Part I — The Constraint Problem[unstarted],Part II — Architecture in Practice[unstarted],Conclusion[unstarted],Publish[unstarted]","Robin Jordan","","","2026-04-11T14:00:00.000Z",,,,"2026-04-08T05:01:00.286Z","2026-04-12T21:26:52.682Z","2026-04-12T21:26:52.683Z",,,,"Planning","Grammar as Protocol","No updates","",,,,"Broadsheet (In Progress)","","","6d66d799-219a-4d87-ba8f-35df0640dc90"
"fd3aa958-8261-47f2-86bb-3f103158c426","BountyBench Dagger Calibration Harness","https://linear.app/tidelands-dev/project/bountybench-dagger-calibration-harness-2e8bcca1e884/overview","v0 of PLAN-259: one Lunary bounty, end-to-end, via an explicitly-layered Dagger module tree — published as the Post 1 calibration methodology piece.","'> **v0 of PLAN-259.** Make one BountyBench target flag-capturable end-to-end through an explicitly-layered Dagger module tree, so the calibration signal stops conflating environment reconstruction with security reasoning.

## Thesis

Per PLAN-259: use Dagger as a disciplined extractor of tacit setup knowledge in BountyBench/BountyTasks. Model concrete **bounty instances as the atomic unit**, factor repeated logic upward into system and environment-pattern modules, and use OWASP-family modules only as reusable capability overlays and reporting abstractions.

The current benchmark conflates three things:

1. hidden operational knowledge
2. environment reconstruction ability
3. actual security reasoning

Whitebox setups collapse (2) and (3) together. This harness isolates (3) by codifying (1) and (2) as explicit, auditable Dagger contracts. The ""delta between failure in a messy environment and success after codifying missing infra state"" *is* the calibration signal.

## Prior art — why we are not starting from zero

PLAN-328 documents prior art in `null-hype/null-hype2`: a family of Argo Workflows that stand up vulnerable targets from `ttl.sh/*-vulnerable-app` images and run Playwright/agent pods against them. Files observed:

* `fastapi_calibration_workflow.yaml`
* `mlflow_calibration_workflow.yaml`
* `librechat_calibration_workflow.yaml`
* `lunary_advanced_workflow.yaml` — directly clones `https://github.com/bountybench/bountytasks.git` and runs the Lunary bounty exploit after patching the target URL
* `lunary_pod_workflow.yaml`
* `final_calibration_workflow.yaml`
* `debug_app_workflow.yaml`

This prior art **proves the deploy-then-exploit pattern is viable** and gives us one fully-wired BountyTasks integration to port from. What it does *not* do — and what this project fixes:

* environment setup is not codified as explicit Dagger modules with reusable contracts
* hidden setup assumptions are implicit in manifest sidecars, runtime shell, and prebuilt images
* exploit logic and environment reconstruction are tightly coupled
* target image build/provenance is opaque from the repo ([ttl.sh](<http://ttl.sh>) images are consumed, not built in-tree)
* execution unit is ad hoc workflow manifests, not bounty-level reproducible modules

## Scope (v0)

One concrete vertical slice, end-to-end:

* **Target:** Lunary. Chosen because PLAN-328 already demonstrates a working `bountybench/bountytasks` integration — cleanest before/after for the Argo → Dagger port.
* **Layering:** foundation → system → bounty modules only. Capability (OWASP) and task-mode (Detect/Exploit/Patch) modules are explicitly *not* in scope for v0 and will come after the first flag is green.
* **Signal:** flag-capture matcher via the existing BountyTasks exploit script, wrapped in a Dagger function. `expect(output).toContain(flag)` — class-agnostic.
* **Delivery:** one publishable write-up as the Post 1 calibration methodology piece.

## Guardrails (from PLAN-259)

* Only codify **environment** assumptions. Never vuln-specific hints.
* Target source snapshot is immutable. The environment layer is what changes.
* Smoke tests verify ""app is in intended runnable state"", not ""exploit path works"".
* Iterative agent fixes must not become benchmark shortcuts — enforced by a diff guardrail Dagger function that rejects PRs touching the frozen target snapshot.

## Reusable primitives likely to emerge

From PLAN-259 body: `checkoutTaskSnapshot`, `hydrateDatabase`, `startTaskServices`, `joinSharedNetwork`, `waitForHealth`, `runSmokeProbe`, `captureFailureState`, `resetTask`. These should be extracted when they recur across bounties, not speculatively.

## Non-goals — moved to the follow-up project

* `linear-agent` / `jules` / Render feedback-loop wiring → *LinearAgentBridge project*
* `nuclei` template integration → PLAN-258 v1
* multi-agent fleet over Linear subdomains → PLAN-258 v2
* Open-source + blog post for LinearAgentBridge → PLAN-257

## Related issues

* **PLAN-259** — anchor (BountyBench as calibration environment)
* **PLAN-328** — prior art (Argo/ttl.sh workflows)
* PLAN-258 — TDD mechanism (implemented in follow-up)
* PLAN-257 — LinearAgentBridge GTM (follow-up)","In Progress","High","","Robin Jordan","Robin Jordan","Robin Jordan","2026-04-07T14:00:00.000Z",,,,"2026-04-08T22:29:40.508Z","2026-04-08T22:29:40.518Z","2026-04-08T22:29:40.508Z",,,,"Planning","Security Research","No updates","",,,,"","","","8110f60d-89ab-4887-9dd0-e901fdd7ed2b"
"003580da-140e-4860-924b-f73bbec09022","Jules × Render autonomous fix loop (v0 plumbing proof)","https://linear.app/tidelands-dev/project/jules-render-autonomous-fix-loop-v0-plumbing-proof-70674a8e2979/overview","v0 plumbing proof: Jules GH App fixes one dummy failing test via the existing Render preview + ssh tunnel + Dagger pipe. Zero custom webhook code. Unblocks Post 2 (Smallweb cron scheduling) and Post 3 (13×3 tidelanes).","'> v0 plumbing proof for the Jules autonomous fix loop. Held until gating is verified — read the three seed documents before creating any issues.

## What this project proves

One concrete outcome: a Jules-authored PR, opened in response to a Jules-labelled GitHub issue, takes a failing test from red to green through the existing `null-hype-dagger-pr-check` Render preview without a human touching the CI pipeline. The failing test can be anything — a wrong return value, a missing function body, a mismatched assertion. What matters is that **the loop closes on third-party infra we already pay for**.

## Why it's cheap

Every hop already exists:

* **Jules GitHub App** (Google-operated, default integration mode) — handles ingest, PR creation, and iteration on check-run failures natively. No custom webhook code.
* **Render preview** `null-hype-dagger-pr-check` (already defined in `render.yaml`) — builds on every PR, runs `dagger call -m ./infra module-check --src=infra` via ssh tunnel to a remote Docker host.
* **Dagger** — already set up, already wired to the ssh tunnel via `REMOTE_DOCKER_SSH_TARGET`.

Total novel infrastructure for v0: **zero**.

## Position in the three-post arc

* **v0 (this project)** — Plumbing proof. Any failing test. No BountyBench, no scheduling, no Linear hop.
* **Post 2** — Adds a custom scheduler via Smallweb cron + `.smallweb-root/linear-agent`. Agents on a schedule, safely. Project container already exists as `LinearAgentBridge — Autonomous BB Calibration Loop` (`085c6bd0-8263-4686-8dd1-4f5399212e5c`) and will be renamed when Post 2 starts.
* **Post 3** — Full 13×3 tidelanes per PLAN-69 and the *Architectural Thesis: Linear as Headless Agent Operating System* document. Pkl grammar as single-artifact docs/config/constraint/test/liveness. Langfuse inverse threshold monitoring. Consulting-grade SLA via coverage heatmap.

Each rests on the previous being unambiguously green first.

## Seed documents

Three documents are attached to this project and must be read by any delegate agent before issues are created:

1. **Charter & thesis** — scope, non-goals, gating, proof bar
2. **Architecture sketch** — the concrete wire, entry points in the current repo, required external setup
3. **Handoff brief for delegate agent** — order of operations, discipline rules, anti-scope-creep

The delegate should **propose** an issue seed set after reading all three and verifying the gating conditions, then wait for operator approval before creating issues.

## Related

* BountyBench Dagger Calibration Harness (`fd3aa958-8261-47f2-86bb-3f103158c426`) — parallel Post 1 calibration methodology project, in-flight in a separate worktree
* LinearAgentBridge — Autonomous BB Calibration Loop (`085c6bd0-8263-4686-8dd1-4f5399212e5c`) — Post 2 container (future)
* PLAN-69 — Tidelanes Pkl grammar, Post 3 substrate
* *Architectural Thesis: Linear as Headless Agent Operating System* document — Post 3 thesis source","In Progress","High","","Robin Jordan","Robin Jordan","Robin Jordan","2026-04-11T14:00:00.000Z",,,,"2026-04-09T21:58:47.102Z","2026-04-12T21:29:15.885Z","2026-04-12T21:29:15.885Z",,,,"Planning","Security Research","No updates","",,,,"","","","8110f60d-89ab-4887-9dd0-e901fdd7ed2b"
